remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:32:11 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
RCOMMENT,"MagneMotion","cold_start_service","At Step 10 call init_constants and init_stations to get everything initialized.$NClear the timeout counts for postition / path commands.$NSet the HLC link status initially down and prev heartbeat to current one so hlc_link_monitor can determine initially if we are talking to the HLC upon first hlc_link_monitor_timer expiry.$NRun for loop routine to clear the active flag for each entry in the pos_order tag.  Logic will later select which entries in that array to have the HLC pay attention to.$NThis routine will start the system and discover all vehicles on the track.$NSet the path cmd and position order msg service routine steps to 10 so they are available for work.$NThen move on to step 20","MOV(15,cold_start_service.step)","1"
RCOMMENT,"MagneMotion","cold_start_service","Clear the active flag for all 8 entries in the position_order MSG source area$NLogic outside here chooses which entries the HLC should pay attention to in$Nthe MSG content by setting active_flag for a particular element.","MOV(16,cold_start_service.step)","2"
RCOMMENT,"MagneMotion","cold_start_service","Clear all records in the vehicle manager storage array$NThis will allow the vehicle manager array to be repopulated only with detected and ordered vehicle$NPrevents stale data","MOV(17,cold_start_service.step)","3"
RCOMMENT,"MagneMotion","cold_start_service","Set up variables for step 18$N","MOV(18,cold_start_service.step)","4"
RCOMMENT,"MagneMotion","cold_start_service","Wait for all NCs to be in the operational state before resetting.","MOV(17,cold_start_service.step)","5"
RCOMMENT,"MagneMotion","cold_start_service","When at step 20 and HLC link is up and path cmd msg service is available for work, format a reset command in path_cmd tag.$NSet path_id to zero for all paths, reset command, active flag so HLC acts on this single path cmd entry.$Nuse next_command_count routine to get a new command count and store in cold_start_service.  Store command count in path_cmd$NSet the msg_service_path_cmd_step to 20 to let the msg service do the msg for us.$NSet up the cold start service timer for 10 seconds so we can wait for path command completion or timeout so we can retry.$NGo to next step 30$N","MOV(25,cold_start_service.step)","6"
RCOMMENT,"MagneMotion","cold_start_service","Initialize variables for step 30$Nrestart cold start routine if process times out","MOV(20,cold_start_service.step)","7"
RCOMMENT,"MagneMotion","cold_start_service","At step 30, set the number of paths done with our command to 0$NRun a loop to check if each path has finished reset by seeing if the last accepted command for all paths has completed.$Nif it has, the logic increments paths_done_with_cmd to the number of paths that have completed reset.$NWhen all paths have completed reset, it advances to the next step","MOV(25,cold_start_service.step)","8"
RCOMMENT,"MagneMotion","cold_start_service","Reset is done, when path_cmd msg service is ready at step 10, format a startup command the same way we formatted the reset command above and tell msg service to kick the command and set a timeout again.$N","MOV(55,cold_start_service.step)","9"
RCOMMENT,"MagneMotion","cold_start_service","Initialize variables for step 60$Nrestart cold start routine if process times out","MOV(20,cold_start_service.step)","10"
RCOMMENT,"MagneMotion","cold_start_service","At step 60, set the number of paths done with our command to 0$NRun a loop to check if each path has finished startup by seeing if the last accepted command for all paths has completed.$Nif it has, the logic increments paths_done_with_cmd to the number of paths that have completed reset.$NWhen all paths have completed startup, it advances to the next step","MOV(55,cold_start_service.step)","11"
RCOMMENT,"MagneMotion","cold_start_service","When startup is done, set our timer for 1 second to give the HLC a chance to push the latest vehicle status for all located$Nvehicles into the MMI_vehicle_status array so we can go through there and determine how many vehicles we have located.","MOV(80,cold_start_service.step)","12"
RCOMMENT,"MagneMotion","cold_start_service","When our 1 second wait after startup is complete at step 80, move on to step 90","MOV(90,cold_start_service.step)","13"
RCOMMENT,"MagneMotion","cold_start_service","Initialize variables for step 100","MOV(100,cold_start_service.step)","14"
RCOMMENT,"MagneMotion","cold_start_service","Go through each vehicle record in MMI_vehicle_status and determine valid vehicles we have found (path ID field in MMI_vehicle_status record is non-zero) and$Nschedule with the vehicle manager to order each discovered vehicle to an initial station to get things going.  Set the step to 5, cold start complete.$N","MOV(5,cold_start_service.step)","15"
RCOMMENT,"MagneMotion","cold_start_service","Pet the cold start service timer every scan","TON(cold_start_service.timer,?,?)","16"
RCOMMENT,"MagneMotion","hlc_link_monitor","This routine watches the MMI_Heartbeat tag from the HLC and sets hlc_link_status when it is known the HLC is talking to us (heartbeat is changing)$Nand clears hlc_link_status when it is known the HLC is not talking to us (no heartbeat change).$N$NPet the hlc_link_monitor_timer tag every scan","TON(hlc_link_monitor_timer,?,?)","1"
RCOMMENT,"MagneMotion","hlc_link_monitor","When link monitor timer is done (3 seconds), check if heartbeat changed -- if so and link is considered down, latch it to up.$NIf heartbeat didn$'t change and the link is considered up, latch it down.$NCopy the current heartbeat to previous for the next check and reset the timer for the next go-around.","RES(hlc_link_monitor_timer)","2"
RCOMMENT,"MagneMotion","init_constants","init_constants is called first by the cold_start_service to initialize tag values used as constants.$N$NConvenience constants to have human readable variable names for values right out of the MagneMotion PLC Interface Control Document","MOV(128,MMI_CMD_COMPLETE)","0"
